,0,1,2
神戸,2,3,0
イベント,19,5,1
認知,1,0,0
労力,1,0,0
結果,1,0,0
電車,14,1,1
窓,11,3,0
目,3,0,0
今回,1,0,0
移動,1,0,0
駅,12,3,2
周辺,1,1,0
表示,6,0,0
こと,3,0,3
地域,1,0,0
人,10,18,1
参加,2,1,0
みんな,2,0,0
活性化,1,0,0
提案,1,0,0
これ,5,7,5
とき,5,0,0
ディスプレイ,2,0,0
電光,1,0,0
掲示,1,0,0
僕,4,1,0
全部,2,0,1
ブラインド,3,0,0
それ,11,3,6
今,5,0,2
シート,1,0,1
内,1,0,0
内側,2,0,0
外,2,0,0
ぼく,1,0,0
つもり,1,0,0
外側,1,0,0
どっち,1,0,0
他,1,0,1
バス,4,0,0
東京,1,0,0
画面,1,0,0
後ろ,1,0,0
トラック,1,0,0
そこ,3,1,0
情報,11,5,2
装飾,1,0,0
そこら,1,0,2
自然,1,0,0
ほお,1,0,0
正直,1,0,0
プロトタイプ,1,0,0
一枚,2,0,0
どこ,4,0,1
問題,1,0,0
皆さん,1,0,0
アイデア,1,0,1
一,1,0,1
音楽,4,0,0
車内,2,0,0
音声,1,0,0
どこら辺,1,0,0
景色,2,0,0
判断,1,0,0
自分,3,2,0
何,7,2,0
ここ,5,2,0
ろって,1,0,0
柱,2,0,0
逆,2,2,0
向こう,1,0,0
ホーム,1,0,0
ここら辺,2,0,0
線路,1,0,0
はいはい,1,0,0
やつか,1,0,0
あれ,1,2,3
アイコン,1,0,0
下,1,0,0
興味,3,0,0
だめ,1,0,0
開催,1,0,0
メイン,2,0,0
さいの,1,0,0
スーパー,1,0,0
セール,1,0,1
ほか,1,0,0
お店,2,0,2
広告,3,0,0
以上,1,0,0
大勢,1,0,0
もの,3,2,0
時間,5,0,0
朝,2,0,0
サラリーマン,1,0,0
学生,3,0,0
ほとんど,1,0,0
昼間,1,0,0
主婦,1,0,0
晩御飯,1,0,0
お酒,1,0,0
今日,1,0,0
いついつ,1,0,0
子,1,0,0
帯,2,0,0
吊革,1,0,0
表現,1,1,0
誰,3,3,0
議論,1,0,0
ジャンル,1,0,0
中,1,0,1
趣味,1,0,0
形,1,1,0
方,1,0,0
おじいさん,1,0,0
おばあさん,1,0,0
じじ,1,0,0
ばば,1,0,0
健康,1,0,0
相談,1,0,0
時,1,0,0
変化,1,0,0
お金,1,0,0
ただ,1,0,0
花火,1,1,0
大会,1,0,0
三宮,1,0,1
町,1,0,0
ターゲット,1,0,0
ボランティア,0,1,0
コア,0,1,0
やつ,0,4,0
チャリティ,0,1,0
周り,0,1,0
ニーズ,0,1,0
祭り,0,2,1
近辺,0,1,0
アナウンス,0,1,0
各駅,0,1,0
頭,0,1,0
メリット,0,1,0
今度,0,1,0
地元,0,1,0
マニアック,0,4,0
テデックス,0,2,0
半分,0,1,0
六,0,1,0
実際,0,1,0
話,0,1,1
そっち,0,1,1
自由,0,1,0
何々,0,1,0
側,0,2,0
発信,0,4,0
大事,0,1,1
価値,0,1,0
人数,0,1,0
理解者,0,1,0
参加者,0,1,0
発想,0,1,0
下敷き,0,1,0
紙,0,2,2
何枚,0,2,0
ため,0,1,0
タイプ,0,1,1
たくさん,0,1,0
物,0,1,0
文字,0,1,1
コンテクスト,0,1,0
粘土,0,1,0
必要,0,1,0
理解,0,1,0
一言,0,1,0
めんど,0,2,0
いわな,0,1,0
場所,0,1,0
ごめん,0,1,0
サービス,0,2,0
拡散,0,1,0
ツイッター,0,1,0
やな,0,1,2
テープ,0,5,0
リボン,0,1,0
りぼん,0,1,0
適当,0,1,0
ポストイット,0,1,0
糊,0,1,0
どれ,0,1,0
ティッシュ,0,1,0
レシート,0,1,0
絵,0,1,0
看板,0,1,0
気合,0,1,3
なにこれ,0,1,0
お祭り,0,1,0
ポスター,0,1,0
明石,0,1,0
メリケン,0,1,0
パーク,0,1,0
ホワイト,0,0,2
ボード,0,0,2
マーカー,0,0,1
俺,0,0,1
辺,0,0,1
拡大,0,0,1
芦屋,0,0,3
川,0,0,1
字,0,0,1
色変,0,0,1
黒,0,0,1
いっか,0,0,1
せや,0,0,1
統一,0,0,1
どこら,0,0,1
チラシ,0,0,1
利益,0,0,1
経費,0,0,1
中川,0,0,1
してん,0,0,1
ビジュアル,0,0,1
日にち,0,0,1
黄色,0,0,1
十三,0,0,2
こっか,0,0,1
前回,0,0,1
やつで,0,0,1
本間,0,0,1
西北,0,0,1
六甲,0,0,1
今年,0,0,1
ビエンナーレ,0,0,2
駅名,0,0,1
